City,id,Country,Lat,Lng
roald,3141667,NO,62.583328,6.13333
pangoa,3933104,PE,-12.11667,-73.0
tondano,1623424,ID,1.3038,124.911201
maloy,3146487,NO,61.935349,5.11362
ostrovnoy,556268,RU,68.053062,39.513062
waingapu,1622318,ID,-9.6567,120.264099
parrita,3622537,CR,9.52012,-84.322487
bonfim,3405215,BR,3.08333,-59.950001
rochegda,501847,RU,62.799999,43.25
bambous virieux,1106677,MU,-20.342779,57.7575
abapo,3924668,BO,-18.83333,-63.466671
palora,3653523,EC,-1.7,-77.933327
arraial do cabo,3471451,BR,-22.96611,-42.027778999999995
necochea,3430443,AR,-38.547259999999994,-58.736752
ventspils,454310,LV,57.389439,21.56056
leh,1264976,IN,34.166672,77.58332800000001
touros,3386213,BR,-5.1988900000000005,-35.460831
husavik,2629833,IS,66.044891,-17.33885
ullapool,2635199,GB,57.89872,-5.1603900000000005
paamiut,3421193,GL,61.994018999999994,-49.667759000000004
alofi,4036284,NU,-19.059521,-169.918671
iqaluit,5983720,CA,63.750591,-68.514488
ugoofaaru,1337619,MV,5.66667,73.0
tete,1026014,MZ,-16.156389,33.58667
terney,2015352,RU,45.050282,136.609177
hami,1529484,CN,42.799999,93.449997
hienghene,2141050,NC,-20.683331,164.933334
lorengau,2092164,PG,-2.02259,147.271194
vanavara,2013727,RU,60.34,102.27971600000001
antalaha,1071296,MG,-14.900329999999999,50.278759
kholodnyy,2124611,RU,62.716671,147.949997
karratha,6620339,AU,-20.73765,116.846291
terrasini,6537752,IT,38.14595,13.084439999999999
kruisfontein,986717,ZA,-34.00333,24.731420999999997
baruun-urt,2032614,MN,46.680561,113.27916699999999
ovalle,3877918,CL,-30.598329999999997,-71.20027900000001
longyearbyen,2729907,SJ,78.218597,15.640070000000001
fernie,5952370,CA,49.499962,-115.06871000000001
mtwara,877747,TZ,-10.26667,40.183331
tshela,2311127,CD,-4.9833300000000005,12.93333
kahului,5847411,US,20.89472,-156.470001
livingstonia,927856,MW,-10.60602,34.106281
guerrero negro,4021858,MX,27.976940000000003,-114.06111100000001
bandarbeyla,64814,SO,9.4942,50.812199
college,5859699,US,64.856941,-147.80278
eenhana,3357804,,-17.466669,16.33333
tamandare,3386931,BR,-8.75972,-35.104721000000005
williams lake,6182212,CA,52.141529,-122.144508
ketchikan,5554428,US,55.34222,-131.646103
yuncheng,1785738,CN,35.02306,110.992783
deputatskiy,2028164,RU,69.300003,139.899994
pisco,3932145,PE,-13.7,-76.216667
pangnirtung,6096551,CA,66.145111,-65.712517
port hardy,6111862,CA,50.699619,-127.419853
namibe,3347019,AO,-15.196110000000001,12.15222
akureyri,2633274,IS,65.683533,-18.087799
high level,5975004,CA,58.51688000000001,-117.13604699999999
ismailia,361055,EG,30.604271,32.272251000000004
puerto ayora,3652764,EC,-0.73931,-90.351761
fort nelson,5955902,CA,58.805328,-122.700203
kaspiysk,551847,RU,42.881648999999996,47.639191
xinxiang,1788572,CN,35.308890999999996,113.867218
ngaoundere,2224827,CM,7.316669999999999,13.583329999999998
sistranda,3139597,NO,63.725552,8.834019999999999
rio gallegos,3838859,AR,-51.622608,-69.218132
yelizovo,2119538,RU,53.187302,158.380493
brae,2654970,GB,60.396351,-1.35296
kinango,191833,KE,-4.137230000000001,39.315281
mahebourg,934322,MU,-20.40806,57.700001
ndende,2397614,GA,-2.40077,11.358130000000001
sao joao da barra,3448903,BR,-21.640279999999997,-41.051109000000004
ust-maya,2013918,RU,60.416672,134.533325
zeya,2012593,RU,53.75,127.26666999999999
dingzhou,1812728,CN,38.513062,114.99556000000001
carutapera,3402648,BR,-1.195,-46.02
manggar,1636426,ID,-2.88333,108.26666999999999
ilulissat,3423146,GL,69.216667,-51.099998
sennoy,497019,RU,52.150902,46.963089000000004
belaya gora,2126785,RU,68.533333,146.416672
taraz,1516905,KZ,42.900002,71.36666899999999
bratsk,2051523,RU,56.1325,101.614166
beira,1052373,MZ,-19.843611,34.83889
taitung,1668295,TW,22.759911,121.14456899999999
la ronge,6050066,CA,55.100128000000005,-105.284218
klaksvik,2618795,FO,62.226551,-6.589010000000001
cidreira,3466165,BR,-30.181109999999997,-50.205559
trairi,3386177,BR,-3.2777800000000004,-39.26889
duayaw nkwanta,2301464,GH,7.17242,-2.1028
kota belud,1736660,MY,6.351,116.43049599999999
sibolga,1213855,ID,1.7427,98.779198
kalmunai,1242110,LK,7.41667,81.816673
wasco,5550368,US,35.594120000000004,-119.34095
verkhnyaya toyma,474470,RU,62.234871,44.99852
mbuji-mayi,209228,CD,-6.15,23.6
dukat,2125906,RU,62.549999,155.550003
tahe,2034615,CN,52.333328,124.73333000000001
wattegama,1224061,LK,6.7989,81.480797
kutum,371745,SD,14.2,24.66667
hambantota,1244926,LK,6.1241,81.1185
choma,917748,ZM,-16.80648,26.953059999999997
da lat,1584071,VN,11.94646,108.441933
grand gaube,934479,MU,-20.00639,57.66083100000001
grand baie,934482,MU,-20.01816,57.580151
parabel,1495586,RU,58.697781000000006,81.48249799999999
grindavik,3416888,IS,63.8424,-22.43375
tuatapere,2180815,NZ,-46.133331,167.683334
harnosand,2707684,SE,62.632278,17.937941
leningradskiy,2123814,RU,69.38333100000001,178.416672
aklavik,5882953,CA,68.219131,-135.010712
karasuk,1504489,RU,53.737719999999996,78.04026
vila velha,3445026,BR,-20.329720000000002,-40.2925
jacareacanga,3397763,BR,-6.22222,-57.752781000000006
ust-tsilma,477940,RU,65.44104,52.14978
talnakh,1490256,RU,69.48650400000001,88.39720200000001
mizdah,2214827,LY,31.445140999999996,12.98013
kailua,5847486,US,21.40222,-157.739441
chingirlau,610091,KZ,51.095001,54.08139
honiara,2108502,SB,-9.43333,159.949997
auki,2109701,SB,-8.767610000000001,160.703354
tazovskiy,1489853,RU,67.466667,78.699997
bengkulu,1649150,ID,-3.80044,102.265541
tilichiki,2120591,RU,60.466671,166.100006
beringovskiy,2126710,RU,63.049999,179.316666
bueno brandao,3468869,BR,-22.44083,-46.35083
srednekolymsk,2121025,RU,67.449997,153.683334
aprelevka,581321,RU,55.55194100000001,37.080101
guiratinga,3461733,BR,-16.349439999999998,-53.758331000000005
igarka,1505991,RU,67.466667,86.58332800000001
mareeba,2158767,AU,-17.0,145.433334
amuntai,1651461,ID,-2.4177299999999997,115.24941299999999
zeliezovce,3056547,SK,48.050751,18.654208999999998
yining,1786538,CN,29.036140000000003,114.563622
acarau,3408368,BR,-2.88556,-40.119999
cuamba,1047660,MZ,-14.80306,36.53722
arlit,2447513,NE,18.73694,7.385280000000001
saldanha,3361934,ZA,-33.011669,17.944201
lyskovo,532715,RU,56.032821999999996,45.042198
kalangala,232571,UG,-0.30889,32.224998
cabo san lucas,3985710,MX,22.890881,-109.912376
niquelandia,3456285,BR,-14.473889999999999,-48.459721
bo phloi,1153850,TH,14.32361,99.516113
bingol,321082,TR,38.88472,40.493889
aykhal,2027296,RU,66.0,111.5
phan thiet,1571058,VN,10.93333,108.099998
haines junction,5969025,CA,60.752159,-137.510818
lompoc,5367788,US,34.639148999999996,-120.457939
broken hill,2173911,AU,-31.950001,141.433334
aripuana,3665202,BR,-9.16667,-60.633331000000005
kaeo,2189343,NZ,-35.099998,173.783325
kloulklubed,7671223,PW,7.041919999999999,134.25561499999998
san rafael del sur,3616594,NI,11.84854,-86.438393
half moon bay,5354943,US,37.463551,-122.42858899999999
barra patuca,3614835,HN,15.8,-84.283333
natal,3394023,BR,-5.795,-35.209438
piacabucu,3454005,BR,-10.405560000000001,-36.434441
nalut,2214433,LY,31.868481,10.9812
colesberg,1013076,ZA,-30.719990000000003,25.097179
ucluelet,6171633,CA,48.932911,-125.552834
shahrud,135423,IR,36.41819,54.97628
nouadhibou,2377457,MR,20.930981,-17.034651
miyako,2111884,JP,39.636669,141.952499
meihekou,2035801,CN,42.527221999999995,125.675278
edd,338345,ER,13.929720000000001,41.692501
yako,2353688,BF,12.96667,-2.26667
manado,1636544,ID,1.4869999999999999,124.845497
teya,1489656,RU,60.377781000000006,92.626671
suksun,486413,RU,57.143101,57.394901000000004
ostersund,2685750,SE,63.179199,14.635660000000001
roros,3141332,NO,62.57468000000001,11.3842
twentynine palms,5404198,US,34.135559,-116.05416899999999
dwarka,1272140,IN,22.239441,68.967781
plettenberg bay,964712,ZA,-34.052738,23.371599
vao,2137773,NC,-22.66667,167.483337
hearst,5973108,CA,49.68351,-83.666542
abu dhabi,292968,AE,24.466669,54.366668999999995
alugan,1731248,PH,12.2188,125.480797
varnavino,476982,RU,57.403511,45.091640000000005
opuwo,3354077,,-18.060679999999998,13.839979999999999
ulladulla,2145554,AU,-35.349998,150.466675
pa sang,1151528,TH,18.526170999999998,98.939362
sakaraha,1057095,MG,-22.9,44.533328999999995
coquimbo,3893629,CL,-29.953328999999997,-71.343613
rapina,589117,EE,58.098061,27.46361
labuhan,8079926,ID,-6.8844,112.205101
nenjiang,2035601,CN,49.183331,125.21666699999999
la solana,2515284,ES,38.944221,-3.2381
chiang mai,1153671,TH,18.79038,98.98468000000001
isiro,215771,CD,2.77391,27.61603
iquitos,3696183,PE,-3.7480599999999997,-73.24722299999999
pak phanang,1608033,TH,8.35109,100.20195
itoman,1861280,JP,26.12472,127.66944099999999
herouville-saint-clair,3013403,FR,49.210879999999996,-0.30653
price,5545269,US,39.599410999999996,-110.81070700000001
mvangue,2225703,CM,2.96667,11.51667
kassala,372753,SD,15.45099,36.399978999999995
hargeysa,57289,SO,9.56,44.064999
tonj,365763,SS,7.273689999999999,28.68223
jieshi,1805857,CN,22.813379,115.82573700000002
durban,1007311,ZA,-29.857901000000002,31.0292
mapastepec,3523590,MX,15.433329999999998,-92.900002
chapeco,3466296,BR,-27.096390000000003,-52.618328000000005
la macarena,3827693,CO,2.18367,-73.784851
havre-saint-pierre,5972291,CA,50.23344,-63.598620999999994
mikuni,1857260,JP,36.21706,136.151855
tocopilla,3869716,CL,-22.09198,-70.19792199999999
tikapur,1282666,NP,28.5,81.13333100000001
catuday,1717787,PH,16.292299,119.806198
nelson bay,2155562,AU,-32.716671000000005,152.149994
aleksandrov gay,583345,RU,50.147040999999994,48.570370000000004
nemuro,2128975,JP,43.323608,145.574997
kununurra,2068110,AU,-15.766670000000001,128.733337
warragul,2144604,AU,-38.166672,145.933334
puro,1692364,PH,12.4841,123.382698
sibu,1735902,MY,2.3,111.816673
porto walter,3662761,BR,-8.26861,-72.743889
gornopravdinsk,1506268,RU,60.049999,69.900002
tonekabon,112656,IR,36.816261,50.87376
kabalo,215668,CD,-6.05,26.91667
mnogovershinnyy,2019935,RU,53.935280000000006,139.924164
maldonado,3441894,UY,-34.900002,-54.950001
shimoda,1852357,JP,34.666672,138.949997
meulaboh,1214488,ID,4.1363,96.128502
lavrentiya,4031637,RU,65.58332800000001,-171.0
calama,3897347,CL,-22.466669,-68.933327
sharjah,292672,AE,25.357309,55.403301
celestun,3531368,MX,20.866671,-90.400002
xining,1788852,CN,36.616669,101.76666999999999
axim,2303611,GH,4.86992,-2.2404599999999997
yar-sale,1486321,RU,66.83332800000001,70.83332800000001
yangmei,1787409,CN,24.10231,112.56176
kaset sombun,1610187,TH,16.280531,101.954224
korla,1529376,CN,41.75972,86.14694200000001
presidencia roque saenz pena,3840300,AR,-26.785219,-60.438759
port hawkesbury,6111867,CA,45.616852,-61.348530000000004
derzhavinsk,1524606,KZ,51.099998,66.316673
ampanihy,1078553,MG,-24.700001,44.75
idukki,1269811,IN,9.85,76.966667
healdsburg,5356012,US,38.61047,-122.86916399999998
lithakia,258241,GR,37.716671000000005,20.83333
akcaabat,752627,TR,41.021198,39.571461
mbekenyera,878006,TZ,-10.0,38.98333
makakilo city,5850554,US,21.346939000000003,-158.085831
juigalpa,3618908,NI,12.10629,-85.364517
ishinomaki,2112576,JP,38.416672,141.300003
riyadh,108410,SA,24.687731,46.721851
erdaojiang,2037494,CN,41.77639,126.03193700000001
novaya igirma,2019004,RU,57.1334,103.911201
bartica,3379507,GY,6.4,-58.616668999999995
mirabela,3457136,BR,-16.262779000000002,-44.16444
apartado,3689798,CO,7.8829899999999995,-76.62586999999999
comodoro rivadavia,3860443,AR,-45.866669,-67.5
cotonou,2394819,BJ,6.36536,2.41833
okhotsk,2122605,RU,59.383331000000005,143.300003
hofn,2630299,IS,64.25386800000001,-15.2082
sitka,5557293,US,57.053059,-135.330002
zhigansk,2012530,RU,66.769722,123.371109
wanning,1791779,CN,18.800279999999997,110.396667
pevek,2122090,RU,69.700829,170.313324
methoni,257122,GR,36.819728999999995,21.704860999999998
los llanos de aridane,2514651,ES,28.658509999999996,-17.918209
lunsar,2406916,SL,8.68333,-12.53333
porterville,5384471,US,36.065231,-119.016769
taber,6160919,CA,49.816738,-112.15181000000001
mandalgovi,2030065,MN,45.762501,106.27082800000001
hamadan,132144,IR,34.799221,48.514561
muyezerskiy,524100,RU,63.933331,31.65
smithers,6149996,CA,54.780361,-127.174278
kiunga,2093846,PG,-6.12193,141.290604
keti bandar,1174451,PK,24.14472,67.449722
tlapehuala,3981462,MX,18.216669,-100.51666999999999
koster,987648,ZA,-25.86301,26.89756
ulaanbaatar,2028462,MN,47.907711,106.88323999999999
kupino,1501365,RU,54.366347999999995,77.29805
itoigawa,1861285,JP,37.033328999999995,137.850006
the valley,3573374,AI,18.217039,-63.05783100000001
camana,3945985,PE,-16.62278,-72.711113
carauari,3664659,BR,-4.88278,-66.89582800000001
chengde,2038087,CN,40.9725,117.93611100000001
jaisalmer,1269507,IN,26.914684,70.918076
kirakira,2178753,SB,-10.454419999999999,161.920456
klyuchevskiy,2021980,RU,53.5317,119.451897
lamu,189741,KE,-2.27169,40.902012
mapimi,3996647,MX,25.816669,-103.849998
gambiran,8070858,ID,-6.7988,111.495102
domoni,921906,KM,-12.25694,44.531940000000006
greymouth,2206895,NZ,-42.466671000000005,171.199997
aleksandrovsk-sakhalinskiy,2127282,RU,50.897498999999996,142.15611299999998
pontes e lacerda,3453060,BR,-15.22611,-59.33528100000001
rognan,3141548,NO,67.09528399999999,15.38778
buin,3897774,CL,-33.73333,-70.75
grand haven,4994325,US,43.063068,-86.228394
taunggyi,1293960,MM,20.783331,97.033333
logten,2617463,DK,56.27459,10.311810000000001
iberia,3938531,PE,-11.35,-69.58332800000001
shahr-e kord,115770,IR,32.325562,50.864441
cam ranh,1586350,VN,11.921439999999999,109.159126
bloomsburg,5180934,US,41.0037,-76.454948
grunstadt,2914101,DE,49.569171999999995,8.16806
inta,1505579,RU,66.031693,60.165939
yanai,1848550,JP,33.966671000000005,132.116669
punta cardon,3629614,VE,11.65806,-70.214996
koson,1217007,UZ,39.037498,65.584999
piltene,456696,LV,57.224258,21.674391
qandala,53157,SO,11.471969999999999,49.872822
bud,4255151,US,39.446991,-86.17581899999999
samarai,2132606,PG,-10.61667,150.666672
planeta rica,3672068,CO,8.414719999999999,-75.58833299999999
ca mau,1586443,VN,9.17694,105.150002
asekeyevo,580676,RU,53.574249,52.79724100000001
yinchuan,1786657,CN,38.468059999999994,106.27306399999999
kazerun,128321,IR,29.619490000000003,51.654148
hornepayne,5977046,CA,49.213778999999995,-84.77050799999999
boca do acre,3664956,BR,-8.75222,-67.39778100000001
kansanshi,913613,ZM,-12.095139999999999,26.427271
salym,1493162,RU,60.0625,71.478889
shaowu,1795857,CN,27.340891,117.483101
hualmay,3939761,PE,-11.09639,-77.613892
asau,686090,RO,46.433331,26.4
san jose de sisa,3692464,PE,-6.616739999999999,-76.69145999999999
todos santos,3981432,MX,23.450001,-110.21666699999999
uvat,1487939,RU,59.143330000000006,68.895279
garchitorena,1713191,PH,13.8804,123.694603
tandalti,366426,SD,13.01667,31.866671000000004
mutoko,884927,ZW,-17.39699,32.226768
verkhnevilyuysk,2013639,RU,63.445278,120.316673
dabat,340358,ET,12.984169999999999,37.764998999999996
marsh harbour,3571913,BS,26.541240999999996,-77.063599
vohibinany,1054035,MG,-17.35,49.033328999999995
shache,1280037,CN,38.416672,77.240562
vilyuysk,2013392,RU,63.755280000000006,121.62471799999999
yuzhno-kurilsk,2119447,RU,44.030559999999994,145.85556
anloga,2304548,GH,5.79473,0.89728
nuuk,3421319,GL,64.183472,-51.721569
byron bay,2172880,AU,-28.65,153.616669
tarakan,1624725,ID,3.3,117.63333100000001
joshimath,1268814,IN,30.566669,79.566673
vemalwada,1253275,IN,18.466669,78.88333100000001
edeia,3464363,BR,-17.338329,-49.931389
jacqueville,2287778,CI,5.20515,-4.4146
lasa,3175096,IT,46.616611,10.70016
pacific grove,5380437,US,36.617740999999995,-121.916618
mahina,4034307,PF,-17.506479000000002,-149.48898300000002
zhangye,1785036,CN,38.93417,100.45166800000001
atar,2381334,MR,20.516859,-13.04986
bodden town,3580733,KY,19.283331,-81.25
gushikawa,1863495,JP,26.354440999999998,127.86860700000001
sakaiminato,1853174,JP,35.549999,133.233337
sao felix do xingu,3388847,BR,-6.6447199999999995,-51.994999
rovenki,695379,UA,48.083321000000005,39.37764
hay river,5972762,CA,60.815552000000004,-115.799927
kawalu,1640902,ID,-7.3817,108.208199
gbadolite,216404,CD,4.28333,21.01667
aitape,2101169,PG,-3.1374400000000002,142.34750400000001
shenjiamen,1795632,CN,29.957621000000003,122.298019
mehamn,778707,NO,71.035698,27.849171000000002
tezu,1254709,IN,27.91667,96.16667199999999
mitu,3674676,CO,1.19833,-70.17333199999999
jamundi,3680387,CO,3.26074,-76.534988
tecoanapa,3516171,MX,16.51667,-98.75
big rapids,4986020,US,43.698078,-85.48365799999999
porto murtinho,3452712,BR,-21.698891,-57.8825
batang berjuntai,1732892,MY,3.3833300000000004,101.41667199999999
pershotravneve,697608,UA,51.392872,28.868370000000002
petropavlovsk-kamchatskiy,2122104,RU,53.0452,158.6483
vilhena,3924679,BR,-12.74056,-60.145828
nortelandia,3456248,BR,-14.454720000000002,-56.802780000000006
